epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.6786130606460572,37.712,1.2978107864379882,54.37
2,1.409588369178772,48.49,1.122120778656006,59.29
3,1.2905201717376709,53.05,1.0617982843399048,61.68
4,1.2231476795196534,56.242,0.9787851640701294,65.04
5,1.1690983256530763,58.24,0.9407969539642334,65.73
6,1.1320266626739501,59.676,0.9125047462463379,67.53
7,1.1058370657730103,60.86,0.8888643081665039,68.63
8,1.081871686553955,61.596,0.8923221663475036,68.36
9,1.0551529419708252,62.744,0.8556605003356934,69.57
10,1.0419194445037843,63.056,0.8794336439132691,68.82
11,0.9917711656951904,64.766,0.7833381938934326,72.75
12,0.9718655654525756,65.724,0.7969310465812683,71.68
13,0.9606497407531738,66.19,0.7595813055038452,73.52
14,0.9490245817756653,66.752,0.7859528534889221,71.93
15,0.9427782482719421,66.762,0.7429915407180786,74.1
16,0.9363026094436645,67.338,0.7424383422851563,74.01
17,0.934704981880188,67.13,0.7351292016029358,74.34
18,0.9243111004638672,67.418,0.7315884244918823,74.06
19,0.9181313238716126,67.744,0.7452266516685486,74.22
20,0.9084759755325318,68.202,0.7274678975105285,74.19
21,0.8821260821342468,68.82,0.7151306221961975,74.77
22,0.8811605661773682,69.134,0.6988165925979615,75.41
23,0.8711038024520874,69.28,0.704109934425354,75.54
24,0.8677731303787232,69.468,0.7041597665786743,75.02
25,0.8659677645683289,69.688,0.683141714477539,75.76
