epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.20089930041829746,93.92,0.04302050101682544,98.7
2,0.07660331810712814,97.70166666666667,0.03778340692573692,98.8
3,0.05887032446265221,98.23666666666666,0.03944683477929793,98.78
4,0.051034914377331736,98.43166666666667,0.02713886088320287,99.08
5,0.043012732852995395,98.635,0.02638860722081736,99.21
6,0.02803993796358506,99.11666666666666,0.02818141920380076,99.09
7,0.025209843514611325,99.21333333333334,0.025548013910697772,99.28
8,0.023218176869675516,99.30833333333334,0.032493475431232946,99.01
9,0.020634860060736535,99.38333333333334,0.028447934979102137,99.23
10,0.019763249995559454,99.38,0.03164345032578131,99.07
11,0.013694653320188323,99.57666666666667,0.026005786954141876,99.33
12,0.01261571819440772,99.605,0.0274913140399025,99.25
13,0.011604752790989974,99.61666666666666,0.02772504104350264,99.32
14,0.010641529326482366,99.65666666666667,0.027480211617924577,99.3
15,0.010084835908096284,99.64333333333333,0.02791950771417778,99.27
