epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.10869326969782511,96.73,0.055758737789094445,98.29
2,0.03550317971110344,98.90166666666667,0.045179121745564044,98.46
3,0.02628475934093197,99.16333333333333,0.033062810634891505,99.07
4,0.021477932739878695,99.29333333333334,0.029044026405829936,99.21
5,0.0160433696060131,99.48833333333333,0.03129282880995597,99.08
6,0.006539014594908804,99.81,0.02193440760182857,99.44
7,0.004141667668789159,99.86833333333334,0.022503509676945397,99.28
8,0.004665113998417898,99.85166666666667,0.021913363758548802,99.49
9,0.007079248838274119,99.77,0.025181720938926445,99.28
10,0.004242785772293185,99.87,0.02367147543473693,99.31
11,0.001346972086977136,99.955,0.02154649952946247,99.51
12,0.00038282950404439666,99.99333333333334,0.021303065114531318,99.47
13,0.00016034055080842033,100.0,0.021549213329796202,99.53
14,7.889970911480002e-05,100.0,0.021803342725118635,99.53
15,0.001193643847170218,99.96,0.025389084976684944,99.42
